| Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 | 1    | Flutter Mane       | 44.52411% | 211770 | 42.955% | 95300  | 41.257% | 
 | 2    | Incineroar         | 43.06030% | 213701 | 43.346% | 120157 | 52.018% | 
 | 3    | Raging Bolt        | 41.66526% | 170685 | 34.621% | 69224  | 29.969% | 
 | 4    | Ogerpon-Wellspring | 34.72965% | 172381 | 34.965% | 88021  | 38.106% | 
 | 5    | Landorus           | 29.71997% | 130839 | 26.539% | 62051  | 26.863% | 
 | 6    | Urshifu-Rapid-Strike | 29.70054% | 127963 | 25.955% | 68368  | 29.598% | 
 | 7    | Rillaboom          | 28.68116% | 134343 | 27.250% | 67189  | 29.088% | 
 | 8    | Chien-Pao          | 27.11250% | 100214 | 20.327% | 48254  | 20.890% | 
 | 9    | Urshifu            | 20.77905% | 89544  | 18.163% | 45159  | 19.550% | 
 | 10   | Amoonguss          | 20.39646% | 82342  | 16.702% | 37461  | 16.218% | 
 | 11   | Tornadus           | 19.02985% | 101978 | 20.685% | 30849  | 13.355% | 
 | 12   | Ogerpon-Hearthflame | 17.58995% | 69603  | 14.118% | 34815  | 15.072% | 
 | 13   | Farigiraf          | 13.94819% | 87074  | 17.662% | 32136  | 13.912% | 
 | 14   | Gouging Fire       | 12.13324% | 51465  | 10.439% | 21217  |  9.185% | 
 | 15   | Gholdengo          | 11.00358% | 50253  | 10.193% | 19793  |  8.569% | 
 | 16   | Dragonite          |  9.94505% | 34136  |  6.924% | 16533  |  7.157% | 
 | 17   | Dondozo            |  9.00465% | 25005  |  5.072% | 12655  |  5.479% | 
 | 18   | Indeedee-F         |  7.98201% | 39113  |  7.934% | 17949  |  7.770% | 
 | 19   | Torkoal            |  7.52679% | 42392  |  8.599% | 23333  | 10.101% | 
 | 20   | Arcanine-Hisui     |  7.39365% | 38657  |  7.841% | 19831  |  8.585% | 
 | 21   | Ursaluna-Bloodmoon |  7.28391% | 40567  |  8.228% | 23323  | 10.097% | 
 | 22   | Glimmora           |  7.28221% | 26389  |  5.353% | 11944  |  5.171% | 
 | 23   | Kingambit          |  7.27661% | 40799  |  8.275% | 16970  |  7.347% | 
 | 24   | Ting-Lu            |  7.26596% | 29451  |  5.974% | 14117  |  6.112% | 
 | 25   | Iron Hands         |  6.78625% | 33948  |  6.886% | 16262  |  7.040% | 
 | 26   | Roaring Moon       |  6.40013% | 19577  |  3.971% | 8161   |  3.533% | 
 | 27   | Ninetales-Alola    |  6.37089% | 37639  |  7.635% | 18336  |  7.938% | 
 | 28   | Chi-Yu             |  6.14030% | 30168  |  6.119% | 15282  |  6.616% | 
 | 29   | Ursaluna           |  6.12446% | 23659  |  4.799% | 12342  |  5.343% | 
 | 30   | Entei              |  4.90699% | 19532  |  3.962% | 9992   |  4.326% | 
 | 31   | Volcarona          |  4.08232% | 15647  |  3.174% | 5724   |  2.478% | 
 | 32   | Tatsugiri          |  4.06044% | 12794  |  2.595% | 7651   |  3.312% | 
 | 33   | Archaludon         |  4.05044% | 29632  |  6.010% | 15719  |  6.805% | 
 | 34   | Articuno           |  3.95526% | 22921  |  4.649% | 12332  |  5.339% | 
 | 35   | Landorus-Therian   |  3.95241% | 20037  |  4.064% | 10428  |  4.514% | 
 | 36   | Ogerpon-Cornerstone |  3.92222% | 16761  |  3.400% | 6733   |  2.915% | 
 | 37   | Porygon2           |  3.39640% | 15782  |  3.201% | 7314   |  3.166% | 
 | 38   | Okidogi            |  3.21781% | 12719  |  2.580% | 6245   |  2.704% | 
 | 39   | Hatterene          |  3.21244% | 13193  |  2.676% | 6693   |  2.898% | 
 | 40   | Gallade            |  3.09799% | 14139  |  2.868% | 7278   |  3.151% | 
 | 41   | Cresselia          |  2.86722% | 13928  |  2.825% | 6346   |  2.747% | 
 | 42   | Pelipper           |  2.83265% | 17508  |  3.551% | 9135   |  3.955% | 
 | 43   | Ogerpon            |  2.77953% | 10744  |  2.179% | 3901   |  1.689% | 
 | 44   | Whimsicott         |  2.47872% | 14422  |  2.925% | 4561   |  1.975% | 
 | 45   | Baxcalibur         |  2.25908% | 11701  |  2.373% | 5154   |  2.231% | 
 | 46   | Iron Crown         |  2.09831% | 11893  |  2.412% | 5409   |  2.342% | 
 | 47   | Heatran            |  2.00098% | 10498  |  2.129% | 5086   |  2.202% | 
 | 48   | Armarouge          |  1.81945% | 10012  |  2.031% | 4959   |  2.147% | 
 | 49   | Annihilape         |  1.67107% | 12368  |  2.509% | 5851   |  2.533% | 
 | 50   | Grimmsnarl         |  1.64956% | 11194  |  2.271% | 4394   |  1.902% | 
 | 51   | Walking Wake       |  1.58589% | 14529  |  2.947% | 7370   |  3.191% | 
 | 52   | Corviknight        |  1.46407% | 10955  |  2.222% | 4498   |  1.947% | 
 | 53   | Iron Bundle        |  1.42580% | 10184  |  2.066% | 4183   |  1.811% | 
