| Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 | 54   | Lilligant-Hisui    |  1.37274% | 6947   |  1.409% | 1907   |  0.826% | 
 | 55   | Tyranitar          |  1.23900% | 10754  |  2.181% | 5940   |  2.572% | 
 | 56   | Zapdos-Galar       |  1.18033% | 10055  |  2.040% | 4717   |  2.042% | 
 | 57   | Kommo-o            |  1.12532% | 7461   |  1.513% | 3265   |  1.413% | 
 | 58   | Sylveon            |  1.12131% | 6959   |  1.412% | 3245   |  1.405% | 
 | 59   | Smeargle           |  0.92637% | 4266   |  0.865% | 1570   |  0.680% | 
 | 60   | Thundurus          |  0.85394% | 8193   |  1.662% | 2838   |  1.229% | 
 | 61   | Regidrago          |  0.81217% | 5042   |  1.023% | 2604   |  1.127% | 
 | 62   | Enamorus-Therian   |  0.78088% | 2946   |  0.598% | 1400   |  0.606% | 
 | 63   | Scream Tail        |  0.77642% | 4565   |  0.926% | 1938   |  0.839% | 
 | 64   | Sinistcha          |  0.76313% | 8974   |  1.820% | 4520   |  1.957% | 
 | 65   | Iron Boulder       |  0.73398% | 4208   |  0.854% | 1985   |  0.859% | 
 | 66   | Maushold           |  0.71068% | 4431   |  0.899% | 1822   |  0.789% | 
 | 67   | Dragapult          |  0.70958% | 4872   |  0.988% | 2246   |  0.972% | 
 | 68   | Bronzong           |  0.70842% | 3604   |  0.731% | 1384   |  0.599% | 
 | 69   | Moltres-Galar      |  0.70487% | 3761   |  0.763% | 1291   |  0.559% | 
 | 70   | Gyarados           |  0.69928% | 5671   |  1.150% | 2606   |  1.128% | 
 | 71   | Primarina          |  0.63885% | 6531   |  1.325% | 3120   |  1.351% | 
 | 72   | Clefairy           |  0.62736% | 4735   |  0.960% | 2085   |  0.903% | 
 | 73   | Gastrodon          |  0.59695% | 4312   |  0.875% | 1956   |  0.847% | 
 | 74   | Dusclops           |  0.56681% | 2536   |  0.514% | 942    |  0.408% | 
 | 75   | Kleavor            |  0.54485% | 1323   |  0.268% | 638    |  0.276% | 
 | 76   | Terrakion          |  0.53111% | 1608   |  0.326% | 699    |  0.303% | 
 | 77   | Clefable           |  0.43844% | 1219   |  0.247% | 529    |  0.229% | 
 | 78   | Oranguru           |  0.42680% | 2607   |  0.529% | 1223   |  0.529% | 
 | 79   | Gothitelle         |  0.40994% | 3277   |  0.665% | 1640   |  0.710% | 
 | 80   | Regieleki          |  0.40990% | 4354   |  0.883% | 1731   |  0.749% | 
 | 81   | Iron Jugulis       |  0.40303% | 2305   |  0.468% | 729    |  0.316% | 
 | 82   | Registeel          |  0.40296% | 2599   |  0.527% | 1185   |  0.513% | 
 | 83   | Metagross          |  0.38625% | 5987   |  1.214% | 2651   |  1.148% | 
 | 84   | Excadrill          |  0.38560% | 4710   |  0.955% | 2508   |  1.086% | 
 | 85   | Articuno-Galar     |  0.36937% | 3119   |  0.633% | 1201   |  0.520% | 
 | 86   | Goodra-Hisui       |  0.36378% | 3910   |  0.793% | 1746   |  0.756% | 
 | 87   | Mamoswine          |  0.35936% | 1763   |  0.358% | 916    |  0.397% | 
 | 88   | Garchomp           |  0.35858% | 4030   |  0.817% | 2048   |  0.887% | 
 | 89   | Snorlax            |  0.34564% | 1412   |  0.286% | 481    |  0.208% | 
 | 90   | Iron Moth          |  0.31060% | 2486   |  0.504% | 1157   |  0.501% | 
 | 91   | Suicune            |  0.30926% | 4466   |  0.906% | 1795   |  0.777% | 
 | 92   | Basculegion        |  0.28281% | 2945   |  0.597% | 1370   |  0.593% | 
 | 93   | Weezing            |  0.27642% | 3250   |  0.659% | 1193   |  0.516% | 
 | 94   | Milotic            |  0.27220% | 3470   |  0.704% | 1462   |  0.633% | 
 | 95   | Venusaur           |  0.26324% | 3309   |  0.671% | 1431   |  0.620% | 
 | 96   | Regice             |  0.26198% | 1305   |  0.265% | 747    |  0.323% | 
 | 97   | Latias             |  0.25427% | 3637   |  0.738% | 1290   |  0.558% | 
 | 98   | Comfey             |  0.25037% | 3006   |  0.610% | 1595   |  0.691% | 
 | 99   | Salamence          |  0.24672% | 2888   |  0.586% | 1228   |  0.532% | 
 | 100  | Latios             |  0.22596% | 2487   |  0.504% | 1073   |  0.465% | 
 | 101  | Frosmoth           |  0.21950% | 1425   |  0.289% | 590    |  0.255% | 
 | 102  | Slowking           |  0.20771% | 789    |  0.160% | 495    |  0.214% | 
 | 103  | Lycanroc           |  0.20464% | 1118   |  0.227% | 416    |  0.180% | 
 | 104  | Scizor             |  0.20447% | 3979   |  0.807% | 1876   |  0.812% | 
 | 105  | Wo-Chien           |  0.19686% | 1668   |  0.338% | 784    |  0.339% | 
 | 106  | Tsareena           |  0.19146% | 1021   |  0.207% | 430    |  0.186% | 
 | 107  | Chesnaught         |  0.18905% | 529    |  0.107% | 180    |  0.078% | 
 | 108  | Ninetales          |  0.18813% | 1588   |  0.322% | 682    |  0.295% | 
 | 109  | Orthworm           |  0.18477% | 1316   |  0.267% | 697    |  0.302% | 
 | 110  | Tinkaton           |  0.17114% | 2629   |  0.533% | 1098   |  0.475% | 
 | 111  | Weezing-Galar      |  0.17025% | 2510   |  0.509% | 1016   |  0.440% | 
 | 112  | Great Tusk         |  0.15845% | 1824   |  0.370% | 878    |  0.380% | 
 | 113  | Talonflame         |  0.15131% | 1996   |  0.405% | 774    |  0.335% | 
 | 114  | Glastrier          |  0.14632% | 3071   |  0.623% | 1524   |  0.660% | 
 | 115  | Politoed           |  0.13500% | 2339   |  0.474% | 1246   |  0.539% | 
 | 116  | Hitmontop          |  0.12799% | 1180   |  0.239% | 478    |  0.207% | 
 | 117  | Garganacl          |  0.12672% | 2102   |  0.426% | 906    |  0.392% | 
 | 118  | Regigigas          |  0.11939% | 1606   |  0.326% | 769    |  0.333% | 
 | 119  | Indeedee           |  0.11820% | 1014   |  0.206% | 485    |  0.210% | 
 | 120  | Brute Bonnet       |  0.11363% | 1154   |  0.234% | 442    |  0.191% | 
 | 121  | Sandy Shocks       |  0.11354% | 852    |  0.173% | 358    |  0.155% | 
 | 122  | Sneasler           |  0.11337% | 2762   |  0.560% | 1275   |  0.552% | 
 | 123  | Shiftry            |  0.11212% | 990    |  0.201% | 464    |  0.201% | 
 | 124  | Espathra           |  0.11123% | 694    |  0.141% | 292    |  0.126% | 
 | 125  | Thundurus-Therian  |  0.10215% | 1182   |  0.240% | 551    |  0.239% | 
 | 126  | Typhlosion-Hisui   |  0.08866% | 783    |  0.159% | 378    |  0.164% | 
 | 127  | Zoroark-Hisui      |  0.08433% | 1469   |  0.298% | 349    |  0.151% | 
 | 128  | Palafin            |  0.08303% | 2062   |  0.418% | 1003   |  0.434% | 
 | 129  | Cetitan            |  0.08199% | 1567   |  0.318% | 605    |  0.262% | 
 | 130  | Brambleghast       |  0.07613% | 775    |  0.157% | 324    |  0.140% | 
 | 131  | Houndstone         |  0.07456% | 701    |  0.142% | 335    |  0.145% | 
 | 132  | Araquanid          |  0.07143% | 1926   |  0.391% | 825    |  0.357% | 
 | 133  | Spectrier          |  0.06960% | 1238   |  0.251% | 585    |  0.253% | 
 | 134  | Sableye            |  0.06913% | 1734   |  0.352% | 618    |  0.268% | 
 | 135  | Empoleon           |  0.06727% | 2079   |  0.422% | 944    |  0.409% | 
 | 136  | Enamorus           |  0.06669% | 2015   |  0.409% | 982    |  0.425% | 
 | 137  | Zapdos             |  0.06635% | 1690   |  0.343% | 732    |  0.317% | 
 | 138  | Magmar             |  0.06555% | 1626   |  0.330% | 599    |  0.259% | 
 | 139  | Vikavolt           |  0.06136% | 674    |  0.137% | 293    |  0.127% | 
 | 140  | Sceptile           |  0.06090% | 528    |  0.107% | 164    |  0.071% | 
 | 141  | Mimikyu            |  0.05734% | 999    |  0.203% | 385    |  0.167% | 
 | 142  | Lapras             |  0.05649% | 569    |  0.115% | 245    |  0.106% | 
 | 143  | Fezandipiti        |  0.05638% | 915    |  0.186% | 383    |  0.166% | 
 | 144  | Iron Treads        |  0.05629% | 836    |  0.170% | 375    |  0.162% | 
 | 145  | Rhyperior          |  0.05107% | 992    |  0.201% | 496    |  0.215% | 
 | 146  | Murkrow            |  0.05088% | 1308   |  0.265% | 410    |  0.177% | 
 | 147  | Electabuzz         |  0.05017% | 1185   |  0.240% | 454    |  0.197% | 
 | 148  | Hypno              |  0.04848% | 101    |  0.020% | 45     |  0.019% | 
 | 149  | Gliscor            |  0.04685% | 676    |  0.137% | 295    |  0.128% | 
 | 150  | Blaziken           |  0.04437% | 1114   |  0.226% | 493    |  0.213% | 
 | 151  | Raichu             |  0.04276% | 1274   |  0.258% | 477    |  0.207% | 
 | 152  | Rotom-Wash         |  0.04271% | 581    |  0.118% | 288    |  0.125% | 
 | 153  | Serperior          |  0.04174% | 1937   |  0.393% | 771    |  0.334% | 
 | 154  | Skeledirge         |  0.04149% | 964    |  0.196% | 444    |  0.192% | 
 | 155  | Abomasnow          |  0.04146% | 1156   |  0.234% | 460    |  0.199% | 
 | 156  | Azumarill          |  0.03998% | 1219   |  0.247% | 562    |  0.243% | 
 | 157  | Raikou             |  0.03877% | 747    |  0.152% | 303    |  0.131% | 
 | 158  | Flamigo            |  0.03763% | 1192   |  0.242% | 684    |  0.296% | 
 | 159  | Muk-Alola          |  0.03645% | 827    |  0.168% | 445    |  0.193% | 
 | 160  | Alcremie           |  0.03630% | 631    |  0.128% | 291    |  0.126% | 
 | 161  | Hydrapple          |  0.03575% | 1662   |  0.337% | 772    |  0.334% | 
 | 162  | Glaceon            |  0.03564% | 635    |  0.129% | 317    |  0.137% | 
 | 163  | Iron Valiant       |  0.03526% | 1678   |  0.340% | 774    |  0.335% | 
 | 164  | Hydreigon          |  0.03464% | 879    |  0.178% | 370    |  0.160% | 
 | 165  | Rampardos          |  0.03339% | 451    |  0.091% | 201    |  0.087% | 
 | 166  | Illumise           |  0.03290% | 258    |  0.052% | 80     |  0.035% | 
 | 167  | Regirock           |  0.02967% | 300    |  0.061% | 139    |  0.060% | 
 | 168  | Vaporeon           |  0.02878% | 387    |  0.078% | 164    |  0.071% | 
 | 169  | Slowking-Galar     |  0.02802% | 683    |  0.139% | 319    |  0.138% | 
 | 170  | Toxicroak          |  0.02764% | 748    |  0.152% | 371    |  0.161% | 
 | 171  | Klefki             |  0.02740% | 617    |  0.125% | 216    |  0.094% | 
 | 172  | Gardevoir          |  0.02738% | 453    |  0.092% | 206    |  0.089% | 
 | 173  | Chandelure         |  0.02709% | 545    |  0.111% | 242    |  0.105% | 
 | 174  | Ribombee           |  0.02642% | 310    |  0.063% | 88     |  0.038% | 
 | 175  | Toxapex            |  0.02621% | 891    |  0.181% | 364    |  0.158% | 
 | 176  | Drifblim           |  0.02608% | 258    |  0.052% | 105    |  0.045% | 
 | 177  | Mienshao           |  0.02555% | 474    |  0.096% | 168    |  0.073% | 
 | 178  | Jumpluff           |  0.02523% | 386    |  0.078% | 141    |  0.061% | 
 | 179  | Blastoise          |  0.02514% | 1082   |  0.219% | 442    |  0.191% | 
 | 180  | Exeggutor          |  0.02490% | 938    |  0.190% | 323    |  0.140% | 
 | 181  | Scrafty            |  0.02467% | 659    |  0.134% | 303    |  0.131% | 
 | 182  | Charizard          |  0.02392% | 1312   |  0.266% | 605    |  0.262% | 
 | 183  | Cobalion           |  0.02380% | 252    |  0.051% | 116    |  0.050% | 
 | 184  | Bruxish            |  0.02370% | 314    |  0.064% | 154    |  0.067% | 
 | 185  | Lucario            |  0.02339% | 694    |  0.141% | 293    |  0.127% | 
 | 186  | Meowscarada        |  0.02319% | 1387   |  0.281% | 620    |  0.268% | 
 | 187  | Camerupt           |  0.02188% | 136    |  0.028% | 59     |  0.026% | 
 | 188  | Tornadus-Therian   |  0.02181% | 240    |  0.049% | 113    |  0.049% | 
 | 189  | Porygon-Z          |  0.02138% | 717    |  0.145% | 351    |  0.152% | 
 | 190  | Hippowdon          |  0.02101% | 328    |  0.067% | 164    |  0.071% | 
 | 191  | Ceruledge          |  0.01936% | 1396   |  0.283% | 668    |  0.289% | 
 | 192  | Munkidori          |  0.01932% | 507    |  0.103% | 221    |  0.096% | 
 | 193  | Arcanine           |  0.01929% | 1409   |  0.286% | 568    |  0.246% | 
 | 194  | Bellibolt          |  0.01733% | 388    |  0.079% | 197    |  0.085% | 
 | 195  | Staraptor          |  0.01731% | 466    |  0.095% | 213    |  0.092% | 
 | 196  | Ludicolo           |  0.01625% | 586    |  0.119% | 279    |  0.121% | 
 | 197  | Stonjourner        |  0.01494% | 110    |  0.022% | 50     |  0.022% | 
 | 198  | Kilowattrel        |  0.01491% | 662    |  0.134% | 296    |  0.128% | 
 | 199  | Slither Wing       |  0.01477% | 639    |  0.130% | 300    |  0.130% | 
 | 200  | Mesprit            |  0.01379% | 43     |  0.009% | 19     |  0.008% | 
 | 201  | Coalossal          |  0.01300% | 196    |  0.040% | 93     |  0.040% | 
 | 202  | Pawmot             |  0.01275% | 320    |  0.065% | 153    |  0.066% | 
 | 203  | Vivillon           |  0.01248% | 138    |  0.028% | 65     |  0.028% | 
 | 204  | Moltres            |  0.01206% | 202    |  0.041% | 97     |  0.042% | 
 | 205  | Overqwil           |  0.01122% | 482    |  0.098% | 210    |  0.091% | 
 | 206  | Riolu              |  0.01103% | 259    |  0.053% | 101    |  0.044% | 
 | 207  | Tauros-Paldea-Aqua |  0.01078% | 342    |  0.069% | 147    |  0.064% | 
 | 208  | Conkeldurr         |  0.00991% | 299    |  0.061% | 143    |  0.062% | 
 | 209  | Krookodile         |  0.00973% | 376    |  0.076% | 169    |  0.073% | 
 | 210  | Mudsdale           |  0.00968% | 260    |  0.053% | 125    |  0.054% | 
 | 211  | Stantler           |  0.00935% | 53     |  0.011% | 20     |  0.009% | 
 | 212  | Hariyama           |  0.00932% | 242    |  0.049% | 107    |  0.046% | 
 | 213  | Pincurchin         |  0.00887% | 691    |  0.140% | 325    |  0.141% | 
 | 214  | Arboliva           |  0.00881% | 550    |  0.112% | 234    |  0.101% | 
 | 215  | Kingdra            |  0.00857% | 1031   |  0.209% | 525    |  0.227% | 
 | 216  | Revavroom          |  0.00840% | 136    |  0.028% | 55     |  0.024% | 
 | 217  | Basculegion-F      |  0.00837% | 216    |  0.044% | 113    |  0.049% | 
 | 218  | Torterra           |  0.00834% | 400    |  0.081% | 170    |  0.074% | 
 | 219  | Rotom-Heat         |  0.00811% | 241    |  0.049% | 94     |  0.041% | 
 | 220  | Slaking            |  0.00807% | 688    |  0.140% | 290    |  0.126% | 
 | 221  | Iron Leaves        |  0.00803% | 559    |  0.113% | 257    |  0.111% | 
 | 222  | Exeggutor-Alola    |  0.00714% | 331    |  0.067% | 128    |  0.055% | 
 | 223  | Trevenant          |  0.00710% | 222    |  0.045% | 87     |  0.038% | 
 | 224  | Scyther            |  0.00696% | 96     |  0.019% | 43     |  0.019% | 
 | 225  | Rhydon             |  0.00696% | 380    |  0.077% | 152    |  0.066% | 
 | 226  | Lilligant          |  0.00695% | 246    |  0.050% | 90     |  0.039% | 
 | 227  | Floatzel           |  0.00694% | 120    |  0.024% | 48     |  0.021% | 
 | 228  | Magnezone          |  0.00689% | 200    |  0.041% | 81     |  0.035% | 
 | 229  | Barraskewda        |  0.00648% | 484    |  0.098% | 199    |  0.086% | 
 | 230  | Electrode-Hisui    |  0.00647% | 157    |  0.032% | 50     |  0.022% | 
 | 231  | Misdreavus         |  0.00647% | 45     |  0.009% | 15     |  0.006% | 
 | 232  | Quaquaval          |  0.00634% | 274    |  0.056% | 127    |  0.055% | 
 | 233  | Heracross          |  0.00627% | 149    |  0.030% | 75     |  0.032% | 
 | 234  | Decidueye-Hisui    |  0.00627% | 445    |  0.090% | 217    |  0.094% | 
 | 235  | Pachirisu          |  0.00606% | 286    |  0.058% | 118    |  0.051% | 
 | 236  | Tauros-Paldea-Blaze |  0.00604% | 241    |  0.049% | 105    |  0.045% | 
 | 237  | Florges            |  0.00604% | 252    |  0.051% | 120    |  0.052% | 
 | 238  | Weavile            |  0.00601% | 303    |  0.061% | 145    |  0.063% | 
 | 239  | Cinderace          |  0.00600% | 450    |  0.091% | 193    |  0.084% | 
 | 240  | Malamar            |  0.00598% | 854    |  0.173% | 393    |  0.170% | 
 | 241  | Braviary           |  0.00589% | 276    |  0.056% | 120    |  0.052% | 
 | 242  | Blissey            |  0.00545% | 176    |  0.036% | 64     |  0.028% | 
 | 243  | Feraligatr         |  0.00540% | 317    |  0.064% | 158    |  0.068% | 
 | 244  | Wigglytuff         |  0.00521% | 119    |  0.024% | 40     |  0.017% | 
 | 245  | Rotom-Frost        |  0.00521% | 137    |  0.028% | 61     |  0.026% | 
 | 246  | Meowstic           |  0.00512% | 421    |  0.085% | 148    |  0.064% | 
 | 247  | Breloom            |  0.00512% | 684    |  0.139% | 315    |  0.136% | 
 | 248  | Samurott-Hisui     |  0.00511% | 379    |  0.077% | 171    |  0.074% | 
 | 249  | Dachsbun           |  0.00490% | 143    |  0.029% | 63     |  0.027% | 
 | 250  | Perrserker         |  0.00479% | 220    |  0.045% | 106    |  0.046% | 
 | 251  | Dewgong            |  0.00479% | 151    |  0.031% | 71     |  0.031% | 
 | 252  | Dudunsparce        |  0.00469% | 327    |  0.066% | 120    |  0.052% | 
 | 253  | Slowbro            |  0.00469% | 360    |  0.073% | 185    |  0.080% | 
 | 254  | Ariados            |  0.00448% | 69     |  0.014% | 22     |  0.010% | 
 | 255  | Umbreon            |  0.00437% | 736    |  0.149% | 303    |  0.131% | 
 | 256  | Swampert           |  0.00434% | 475    |  0.096% | 205    |  0.089% | 
 | 257  | Clodsire           |  0.00428% | 550    |  0.112% | 213    |  0.092% | 
 | 258  | Bastiodon          |  0.00406% | 530    |  0.108% | 266    |  0.115% | 
 | 259  | Minior             |  0.00398% | 78     |  0.016% | 31     |  0.013% | 
 | 260  | Victreebel         |  0.00393% | 83     |  0.017% | 35     |  0.015% | 
 | 261  | Delphox            |  0.00387% | 385    |  0.078% | 177    |  0.077% | 
 | 262  | Rabsca             |  0.00375% | 306    |  0.062% | 162    |  0.070% | 
 | 263  | Mandibuzz          |  0.00372% | 91     |  0.018% | 36     |  0.016% | 
 | 264  | Wyrdeer            |  0.00365% | 194    |  0.039% | 88     |  0.038% | 
 | 265  | Crabominable       |  0.00363% | 96     |  0.019% | 54     |  0.023% | 
 | 266  | Ditto              |  0.00349% | 331    |  0.067% | 152    |  0.066% | 
 | 267  | Crawdaunt          |  0.00333% | 111    |  0.023% | 50     |  0.022% | 
 | 268  | Gengar             |  0.00324% | 418    |  0.085% | 190    |  0.082% | 
 | 269  | Bisharp            |  0.00313% | 308    |  0.062% | 112    |  0.048% | 
 | 270  | Slowbro-Galar      |  0.00309% | 320    |  0.065% | 114    |  0.049% | 
 | 271  | Rotom-Mow          |  0.00304% | 31     |  0.006% | 11     |  0.005% | 
 | 272  | Iron Thorns        |  0.00302% | 236    |  0.048% | 121    |  0.052% | 
 | 273  | Ursaring           |  0.00301% | 22     |  0.004% | 10     |  0.004% | 
 | 274  | Cramorant          |  0.00298% | 91     |  0.018% | 37     |  0.016% | 
 | 275  | Grafaiai           |  0.00296% | 321    |  0.065% | 129    |  0.056% | 
 | 276  | Azelf              |  0.00287% | 156    |  0.032% | 55     |  0.024% | 
 | 277  | Infernape          |  0.00277% | 298    |  0.060% | 152    |  0.066% | 
 | 278  | Medicham           |  0.00274% | 506    |  0.103% | 177    |  0.077% | 
 | 279  | Hawlucha           |  0.00267% | 131    |  0.027% | 44     |  0.019% | 
 | 280  | Reuniclus          |  0.00265% | 469    |  0.095% | 228    |  0.099% | 
 | 281  | Scovillain         |  0.00256% | 145    |  0.029% | 60     |  0.026% | 
 | 282  | Dugtrio            |  0.00252% | 97     |  0.020% | 37     |  0.016% | 
 | 283  | Torracat           |  0.00251% | 65     |  0.013% | 35     |  0.015% | 
 | 284  | Cyclizar           |  0.00247% | 233    |  0.047% | 107    |  0.046% | 
 | 285  | Duraludon          |  0.00241% | 216    |  0.044% | 87     |  0.038% | 
 | 286  | Poliwrath          |  0.00239% | 115    |  0.023% | 61     |  0.026% | 
 | 287  | Virizion           |  0.00236% | 58     |  0.012% | 26     |  0.011% | 
 | 288  | Pikachu            |  0.00231% | 414    |  0.084% | 140    |  0.061% | 
 | 289  | Passimian          |  0.00230% | 42     |  0.009% | 10     |  0.004% | 
 | 290  | Dragalge           |  0.00227% | 261    |  0.053% | 128    |  0.055% | 
 | 291  | Toxtricity         |  0.00222% | 248    |  0.050% | 117    |  0.051% | 
 | 292  | Volbeat            |  0.00222% | 120    |  0.024% | 43     |  0.019% | 
 | 293  | Lurantis           |  0.00215% | 126    |  0.026% | 59     |  0.026% | 
 | 294  | Golem              |  0.00211% | 73     |  0.015% | 27     |  0.012% | 
 | 295  | Golurk             |  0.00201% | 157    |  0.032% | 62     |  0.027% | 
 | 296  | Qwilfish-Hisui     |  0.00199% | 97     |  0.020% | 38     |  0.016% | 
 | 297  | Leavanny           |  0.00198% | 15     |  0.003% | 4      |  0.002% | 
 | 298  | Dedenne            |  0.00186% | 38     |  0.008% | 16     |  0.007% | 
 | 299  | Typhlosion         |  0.00179% | 180    |  0.037% | 88     |  0.038% | 
 | 300  | Cloyster           |  0.00179% | 221    |  0.045% | 99     |  0.043% | 
 | 301  | Charjabug          |  0.00179% | 157    |  0.032% | 54     |  0.023% | 
 | 302  | Greninja           |  0.00171% | 319    |  0.065% | 138    |  0.060% | 
 | 303  | Haxorus            |  0.00170% | 243    |  0.049% | 112    |  0.048% | 
 | 304  | Eiscue             |  0.00169% | 55     |  0.011% | 27     |  0.012% | 
 | 305  | Prinplup           |  0.00168% | 11     |  0.002% | 4      |  0.002% | 
 | 306  | Piplup             |  0.00168% | 16     |  0.003% | 0      |  0.000% | 
 | 307  | Persian-Alola      |  0.00161% | 62     |  0.013% | 24     |  0.010% | 
 | 308  | Yanmega            |  0.00158% | 140    |  0.028% | 87     |  0.038% | 
 | 309  | Magmortar          |  0.00157% | 95     |  0.019% | 47     |  0.020% | 
 | 310  | Zebstrika          |  0.00154% | 52     |  0.011% | 15     |  0.006% | 
 | 311  | Salazzle           |  0.00143% | 335    |  0.068% | 137    |  0.059% | 
 | 312  | Luxray             |  0.00128% | 114    |  0.023% | 39     |  0.017% | 
 | 313  | Electrode          |  0.00125% | 25     |  0.005% | 6      |  0.003% | 
 | 314  | Piloswine          |  0.00124% | 21     |  0.004% | 11     |  0.005% | 
 | 315  | Ambipom            |  0.00123% | 456    |  0.092% | 195    |  0.084% | 
 | 316  | Froslass           |  0.00120% | 188    |  0.038% | 70     |  0.030% | 
 | 317  | Eelektross         |  0.00117% | 158    |  0.032% | 69     |  0.030% | 
 | 318  | Sentret            |  0.00115% | 15     |  0.003% | 8      |  0.003% | 
 | 319  | Emboar             |  0.00114% | 109    |  0.022% | 65     |  0.028% | 
 | 320  | Sneasel            |  0.00109% | 44     |  0.009% | 18     |  0.008% | 
