 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 | 47   | Baxcalibur         |  2.37338% | 11701  |  2.373% | 5154   |  2.231% | 
 | 48   | Grimmsnarl         |  2.27054% | 11194  |  2.271% | 4394   |  1.902% | 
 | 49   | Corviknight        |  2.22206% | 10955  |  2.222% | 4498   |  1.947% | 
 | 50   | Tyranitar          |  2.18129% | 10754  |  2.181% | 5940   |  2.572% | 
 | 51   | Ogerpon            |  2.17927% | 10744  |  2.179% | 3901   |  1.689% | 
 | 52   | Heatran            |  2.12937% | 10498  |  2.129% | 5086   |  2.202% | 
 | 53   | Iron Bundle        |  2.06568% | 10184  |  2.066% | 4183   |  1.811% | 
 | 54   | Zapdos-Galar       |  2.03951% | 10055  |  2.040% | 4717   |  2.042% | 
 | 55   | Armarouge          |  2.03079% | 10012  |  2.031% | 4959   |  2.147% | 
 | 56   | Sinistcha          |  1.82025% | 8974   |  1.820% | 4520   |  1.957% | 
 | 57   | Thundurus          |  1.66183% | 8193   |  1.662% | 2838   |  1.229% | 
 | 58   | Kommo-o            |  1.51336% | 7461   |  1.513% | 3265   |  1.413% | 
 | 59   | Sylveon            |  1.41153% | 6959   |  1.412% | 3245   |  1.405% | 
 | 60   | Lilligant-Hisui    |  1.40910% | 6947   |  1.409% | 1907   |  0.826% | 
 | 61   | Primarina          |  1.32472% | 6531   |  1.325% | 3120   |  1.351% | 
 | 62   | Metagross          |  1.21438% | 5987   |  1.214% | 2651   |  1.148% | 
 | 63   | Gyarados           |  1.15028% | 5671   |  1.150% | 2606   |  1.128% | 
 | 64   | Regidrago          |  1.02270% | 5042   |  1.023% | 2604   |  1.127% | 
 | 65   | Dragapult          |  0.98822% | 4872   |  0.988% | 2246   |  0.972% | 
 | 66   | Clefairy           |  0.96043% | 4735   |  0.960% | 2085   |  0.903% | 
 | 67   | Excadrill          |  0.95536% | 4710   |  0.955% | 2508   |  1.086% | 
 | 68   | Scream Tail        |  0.92594% | 4565   |  0.926% | 1938   |  0.839% | 
 | 69   | Suicune            |  0.90586% | 4466   |  0.906% | 1795   |  0.777% | 
 | 70   | Maushold           |  0.89876% | 4431   |  0.899% | 1822   |  0.789% | 
 | 71   | Regieleki          |  0.88315% | 4354   |  0.883% | 1731   |  0.749% | 
 | 72   | Gastrodon          |  0.87463% | 4312   |  0.875% | 1956   |  0.847% | 
 | 73   | Smeargle           |  0.86530% | 4266   |  0.865% | 1570   |  0.680% | 
 | 74   | Iron Boulder       |  0.85353% | 4208   |  0.854% | 1985   |  0.859% | 
 | 75   | Garchomp           |  0.81743% | 4030   |  0.817% | 2048   |  0.887% | 
 | 76   | Scizor             |  0.80708% | 3979   |  0.807% | 1876   |  0.812% | 
 | 77   | Goodra-Hisui       |  0.79309% | 3910   |  0.793% | 1746   |  0.756% | 
 | 78   | Moltres-Galar      |  0.76286% | 3761   |  0.763% | 1291   |  0.559% | 
 | 79   | Latias             |  0.73771% | 3637   |  0.738% | 1290   |  0.558% | 
 | 80   | Bronzong           |  0.73102% | 3604   |  0.731% | 1384   |  0.599% | 
 | 81   | Milotic            |  0.70384% | 3470   |  0.704% | 1462   |  0.633% | 
 | 82   | Venusaur           |  0.67118% | 3309   |  0.671% | 1431   |  0.620% | 
 | 83   | Gothitelle         |  0.66469% | 3277   |  0.665% | 1640   |  0.710% | 
 | 84   | Weezing            |  0.65922% | 3250   |  0.659% | 1193   |  0.516% | 
 | 85   | Articuno-Galar     |  0.63264% | 3119   |  0.633% | 1201   |  0.520% | 
 | 86   | Glastrier          |  0.62291% | 3071   |  0.623% | 1524   |  0.660% | 
 | 87   | Comfey             |  0.60972% | 3006   |  0.610% | 1595   |  0.691% | 
 | 88   | Enamorus-Therian   |  0.59755% | 2946   |  0.598% | 1400   |  0.606% | 
 | 89   | Basculegion        |  0.59735% | 2945   |  0.597% | 1370   |  0.593% | 
 | 90   | Salamence          |  0.58579% | 2888   |  0.586% | 1228   |  0.532% | 
 | 91   | Sneasler           |  0.56023% | 2762   |  0.560% | 1275   |  0.552% | 
 | 92   | Tinkaton           |  0.53325% | 2629   |  0.533% | 1098   |  0.475% | 
 | 93   | Oranguru           |  0.52879% | 2607   |  0.529% | 1223   |  0.529% | 
 | 94   | Registeel          |  0.52717% | 2599   |  0.527% | 1185   |  0.513% | 
 | 95   | Dusclops           |  0.51439% | 2536   |  0.514% | 942    |  0.408% | 
 | 96   | Weezing-Galar      |  0.50912% | 2510   |  0.509% | 1016   |  0.440% | 
 | 97   | Latios             |  0.50445% | 2487   |  0.504% | 1073   |  0.465% | 
 | 98   | Iron Moth          |  0.50425% | 2486   |  0.504% | 1157   |  0.501% | 
 | 99   | Politoed           |  0.47443% | 2339   |  0.474% | 1246   |  0.539% | 
 | 100  | Iron Jugulis       |  0.46754% | 2305   |  0.468% | 729    |  0.316% | 
 | 101  | Garganacl          |  0.42636% | 2102   |  0.426% | 906    |  0.392% | 
 | 102  | Empoleon           |  0.42170% | 2079   |  0.422% | 944    |  0.409% | 
 | 103  | Palafin            |  0.41825% | 2062   |  0.418% | 1003   |  0.434% | 
 | 104  | Enamorus           |  0.40871% | 2015   |  0.409% | 982    |  0.425% | 
 | 105  | Talonflame         |  0.40486% | 1996   |  0.405% | 774    |  0.335% | 
 | 106  | Serperior          |  0.39289% | 1937   |  0.393% | 771    |  0.334% | 
 | 107  | Araquanid          |  0.39066% | 1926   |  0.391% | 825    |  0.357% | 
 | 108  | Great Tusk         |  0.36997% | 1824   |  0.370% | 878    |  0.380% | 
 | 109  | Mamoswine          |  0.35760% | 1763   |  0.358% | 916    |  0.397% | 
 | 110  | Sableye            |  0.35172% | 1734   |  0.352% | 618    |  0.268% | 
 | 111  | Zapdos             |  0.34279% | 1690   |  0.343% | 732    |  0.317% | 
 | 112  | Iron Valiant       |  0.34036% | 1678   |  0.340% | 774    |  0.335% | 
 | 113  | Wo-Chien           |  0.33833% | 1668   |  0.338% | 784    |  0.339% | 
 | 114  | Hydrapple          |  0.33711% | 1662   |  0.337% | 772    |  0.334% | 
 | 115  | Magmar             |  0.32981% | 1626   |  0.330% | 599    |  0.259% | 
 | 116  | Terrakion          |  0.32616% | 1608   |  0.326% | 699    |  0.303% | 
 | 117  | Regigigas          |  0.32575% | 1606   |  0.326% | 769    |  0.333% | 
 | 118  | Ninetales          |  0.32210% | 1588   |  0.322% | 682    |  0.295% | 
 | 119  | Cetitan            |  0.31784% | 1567   |  0.318% | 605    |  0.262% | 
 | 120  | Zoroark-Hisui      |  0.29797% | 1469   |  0.298% | 349    |  0.151% | 
 | 121  | Frosmoth           |  0.28904% | 1425   |  0.289% | 590    |  0.255% | 
 | 122  | Snorlax            |  0.28640% | 1412   |  0.286% | 481    |  0.208% | 
 | 123  | Arcanine           |  0.28580% | 1409   |  0.286% | 568    |  0.246% | 
 | 124  | Ceruledge          |  0.28316% | 1396   |  0.283% | 668    |  0.289% | 
 | 125  | Meowscarada        |  0.28133% | 1387   |  0.281% | 620    |  0.268% | 
 | 126  | Kleavor            |  0.26835% | 1323   |  0.268% | 638    |  0.276% | 
 | 127  | Orthworm           |  0.26693% | 1316   |  0.267% | 697    |  0.302% | 
 | 128  | Charizard          |  0.26612% | 1312   |  0.266% | 605    |  0.262% | 
 | 129  | Murkrow            |  0.26531% | 1308   |  0.265% | 410    |  0.177% | 
 | 130  | Regice             |  0.26470% | 1305   |  0.265% | 747    |  0.323% | 
 | 131  | Raichu             |  0.25841% | 1274   |  0.258% | 477    |  0.207% | 
 | 132  | Spectrier          |  0.25111% | 1238   |  0.251% | 585    |  0.253% | 
 | 133  | Clefable           |  0.24726% | 1219   |  0.247% | 529    |  0.229% | 
 | 134  | Azumarill          |  0.24726% | 1219   |  0.247% | 562    |  0.243% | 
 | 135  | Flamigo            |  0.24178% | 1192   |  0.242% | 684    |  0.296% | 
 | 136  | Electabuzz         |  0.24036% | 1185   |  0.240% | 454    |  0.197% | 
 | 137  | Thundurus-Therian  |  0.23975% | 1182   |  0.240% | 551    |  0.239% | 
 | 138  | Hitmontop          |  0.23935% | 1180   |  0.239% | 478    |  0.207% | 
 | 139  | Abomasnow          |  0.23448% | 1156   |  0.234% | 460    |  0.199% | 
 | 140  | Brute Bonnet       |  0.23407% | 1154   |  0.234% | 442    |  0.191% | 
 | 141  | Lycanroc           |  0.22677% | 1118   |  0.227% | 416    |  0.180% | 
 | 142  | Blaziken           |  0.22596% | 1114   |  0.226% | 493    |  0.213% | 
 | 143  | Blastoise          |  0.21947% | 1082   |  0.219% | 442    |  0.191% | 
 | 144  | Kingdra            |  0.20912% | 1031   |  0.209% | 525    |  0.227% | 
 | 145  | Tsareena           |  0.20710% | 1021   |  0.207% | 430    |  0.186% | 
 | 146  | Indeedee           |  0.20568% | 1014   |  0.206% | 485    |  0.210% | 
 | 147  | Mimikyu            |  0.20263% | 999    |  0.203% | 385    |  0.167% | 
 | 148  | Rhyperior          |  0.20121% | 992    |  0.201% | 496    |  0.215% | 
 | 149  | Shiftry            |  0.20081% | 990    |  0.201% | 464    |  0.201% | 
 | 150  | Skeledirge         |  0.19553% | 964    |  0.196% | 444    |  0.192% | 
 | 151  | Exeggutor          |  0.19026% | 938    |  0.190% | 323    |  0.140% | 
 | 152  | Fezandipiti        |  0.18559% | 915    |  0.186% | 383    |  0.166% | 
 | 153  | Toxapex            |  0.18073% | 891    |  0.181% | 364    |  0.158% | 
 | 154  | Hydreigon          |  0.17829% | 879    |  0.178% | 370    |  0.160% | 
 | 155  | Malamar            |  0.17322% | 854    |  0.173% | 393    |  0.170% | 
 | 156  | Sandy Shocks       |  0.17282% | 852    |  0.173% | 358    |  0.155% | 
 | 157  | Iron Treads        |  0.16957% | 836    |  0.170% | 375    |  0.162% | 
 | 158  | Muk-Alola          |  0.16775% | 827    |  0.168% | 445    |  0.193% | 
 | 159  | Slowking           |  0.16004% | 789    |  0.160% | 495    |  0.214% | 
 | 160  | Typhlosion-Hisui   |  0.15882% | 783    |  0.159% | 378    |  0.164% | 
 | 161  | Brambleghast       |  0.15720% | 775    |  0.157% | 324    |  0.140% | 
 | 162  | Toxicroak          |  0.15172% | 748    |  0.152% | 371    |  0.161% | 
 | 163  | Raikou             |  0.15152% | 747    |  0.152% | 303    |  0.131% | 
 | 164  | Umbreon            |  0.14929% | 736    |  0.149% | 303    |  0.131% | 
 | 165  | Porygon-Z          |  0.14543% | 717    |  0.145% | 351    |  0.152% | 
 | 166  | Houndstone         |  0.14219% | 701    |  0.142% | 335    |  0.145% | 
 | 167  | Espathra           |  0.14077% | 694    |  0.141% | 292    |  0.126% | 
 | 168  | Lucario            |  0.14077% | 694    |  0.141% | 293    |  0.127% | 
 | 169  | Pincurchin         |  0.14016% | 691    |  0.140% | 325    |  0.141% | 
 | 170  | Slaking            |  0.13955% | 688    |  0.140% | 290    |  0.126% | 
 | 171  | Breloom            |  0.13874% | 684    |  0.139% | 315    |  0.136% | 
 | 172  | Slowking-Galar     |  0.13854% | 683    |  0.139% | 319    |  0.138% | 
 | 173  | Gliscor            |  0.13712% | 676    |  0.137% | 295    |  0.128% | 
 | 174  | Vikavolt           |  0.13671% | 674    |  0.137% | 293    |  0.127% | 
 | 175  | Kilowattrel        |  0.13428% | 662    |  0.134% | 296    |  0.128% | 
 | 176  | Scrafty            |  0.13367% | 659    |  0.134% | 303    |  0.131% | 
 | 177  | Slither Wing       |  0.12961% | 639    |  0.130% | 300    |  0.130% | 
 | 178  | Glaceon            |  0.12880% | 635    |  0.129% | 317    |  0.137% | 
 | 179  | Alcremie           |  0.12799% | 631    |  0.128% | 291    |  0.126% | 
 | 180  | Klefki             |  0.12515% | 617    |  0.125% | 216    |  0.094% | 
 | 181  | Ludicolo           |  0.11886% | 586    |  0.119% | 279    |  0.121% | 
 | 182  | Rotom-Wash         |  0.11785% | 581    |  0.118% | 288    |  0.125% | 
 | 183  | Lapras             |  0.11541% | 569    |  0.115% | 245    |  0.106% | 
 | 184  | Iron Leaves        |  0.11339% | 559    |  0.113% | 257    |  0.111% | 
 | 185  | Clodsire           |  0.11156% | 550    |  0.112% | 213    |  0.092% | 
 | 186  | Arboliva           |  0.11156% | 550    |  0.112% | 234    |  0.101% | 
 | 187  | Chandelure         |  0.11055% | 545    |  0.111% | 242    |  0.105% | 
 | 188  | Bastiodon          |  0.10750% | 530    |  0.108% | 266    |  0.115% | 
 | 189  | Chesnaught         |  0.10730% | 529    |  0.107% | 180    |  0.078% | 
 | 190  | Sceptile           |  0.10710% | 528    |  0.107% | 164    |  0.071% | 
 | 191  | Munkidori          |  0.10284% | 507    |  0.103% | 221    |  0.096% | 
 | 192  | Medicham           |  0.10263% | 506    |  0.103% | 177    |  0.077% | 
 | 193  | Barraskewda        |  0.09817% | 484    |  0.098% | 199    |  0.086% | 
 | 194  | Overqwil           |  0.09777% | 482    |  0.098% | 210    |  0.091% | 
 | 195  | Swampert           |  0.09635% | 475    |  0.096% | 205    |  0.089% | 
 | 196  | Mienshao           |  0.09614% | 474    |  0.096% | 168    |  0.073% | 
 | 197  | Reuniclus          |  0.09513% | 469    |  0.095% | 228    |  0.099% | 
 | 198  | Staraptor          |  0.09452% | 466    |  0.095% | 213    |  0.092% | 
 | 199  | Ambipom            |  0.09249% | 456    |  0.092% | 195    |  0.084% | 
 | 200  | Gardevoir          |  0.09188% | 453    |  0.092% | 206    |  0.089% | 
 | 201  | Rampardos          |  0.09148% | 451    |  0.091% | 201    |  0.087% | 
 | 202  | Cinderace          |  0.09128% | 450    |  0.091% | 193    |  0.084% | 
 | 203  | Decidueye-Hisui    |  0.09026% | 445    |  0.090% | 217    |  0.094% | 
 | 204  | Espeon             |  0.08925% | 440    |  0.089% | 186    |  0.081% | 
 | 205  | Meowstic           |  0.08539% | 421    |  0.085% | 148    |  0.064% | 
 | 206  | Gengar             |  0.08479% | 418    |  0.085% | 190    |  0.082% | 
 | 207  | Pikachu            |  0.08397% | 414    |  0.084% | 140    |  0.061% | 
 | 208  | Torterra           |  0.08113% | 400    |  0.081% | 170    |  0.074% | 
 | 209  | Bellibolt          |  0.07870% | 388    |  0.079% | 197    |  0.085% | 
 | 210  | Vaporeon           |  0.07850% | 387    |  0.078% | 164    |  0.071% | 
 | 211  | Jumpluff           |  0.07829% | 386    |  0.078% | 141    |  0.061% | 
 | 212  | Delphox            |  0.07809% | 385    |  0.078% | 177    |  0.077% | 
 | 213  | Rhydon             |  0.07708% | 380    |  0.077% | 152    |  0.066% | 
 | 214  | Samurott-Hisui     |  0.07687% | 379    |  0.077% | 171    |  0.074% | 
 | 215  | Krookodile         |  0.07627% | 376    |  0.076% | 169    |  0.073% | 
 | 216  | Sandslash-Alola    |  0.07485% | 369    |  0.075% | 164    |  0.071% | 
 | 217  | Goodra             |  0.07424% | 366    |  0.074% | 151    |  0.065% | 
 | 218  | Slowbro            |  0.07302% | 360    |  0.073% | 185    |  0.080% | 
 | 219  | Tauros-Paldea-Aqua |  0.06937% | 342    |  0.069% | 147    |  0.064% | 
 | 220  | Salazzle           |  0.06795% | 335    |  0.068% | 137    |  0.059% | 
 | 221  | Ditto              |  0.06714% | 331    |  0.067% | 152    |  0.066% | 
 | 222  | Exeggutor-Alola    |  0.06714% | 331    |  0.067% | 128    |  0.055% | 
 | 223  | Cinccino           |  0.06714% | 331    |  0.067% | 132    |  0.057% | 
 | 224  | Hippowdon          |  0.06653% | 328    |  0.067% | 164    |  0.071% | 
 | 225  | Dudunsparce        |  0.06633% | 327    |  0.066% | 120    |  0.052% | 
 | 226  | Braviary-Hisui     |  0.06511% | 321    |  0.065% | 142    |  0.061% | 
 | 227  | Grafaiai           |  0.06511% | 321    |  0.065% | 129    |  0.056% | 
 | 228  | Pawmot             |  0.06491% | 320    |  0.065% | 153    |  0.066% | 
 | 229  | Slowbro-Galar      |  0.06491% | 320    |  0.065% | 114    |  0.049% | 
 | 230  | Greninja           |  0.06470% | 319    |  0.065% | 138    |  0.060% | 
 | 231  | Feraligatr         |  0.06430% | 317    |  0.064% | 158    |  0.068% | 
 | 232  | Bruxish            |  0.06369% | 314    |  0.064% | 154    |  0.067% | 
 | 233  | Ribombee           |  0.06288% | 310    |  0.063% | 88     |  0.038% | 
 | 234  | Bisharp            |  0.06247% | 308    |  0.062% | 112    |  0.048% | 
 | 235  | Rabsca             |  0.06207% | 306    |  0.062% | 162    |  0.070% | 
 | 236  | Weavile            |  0.06146% | 303    |  0.061% | 145    |  0.063% | 
 | 237  | Regirock           |  0.06085% | 300    |  0.061% | 139    |  0.060% | 
 | 238  | Conkeldurr         |  0.06065% | 299    |  0.061% | 143    |  0.062% | 
 | 239  | Infernape          |  0.06045% | 298    |  0.060% | 152    |  0.066% | 
 | 240  | Pachirisu          |  0.05801% | 286    |  0.058% | 118    |  0.051% | 
 | 241  | Arbok              |  0.05619% | 277    |  0.056% | 115    |  0.050% | 
 | 242  | Braviary           |  0.05598% | 276    |  0.056% | 120    |  0.052% | 
 | 243  | Quaquaval          |  0.05558% | 274    |  0.056% | 127    |  0.055% | 
 | 244  | Inteleon           |  0.05375% | 265    |  0.054% | 103    |  0.045% | 
 | 245  | Dragalge           |  0.05294% | 261    |  0.053% | 128    |  0.055% | 
 | 246  | Mudsdale           |  0.05274% | 260    |  0.053% | 125    |  0.054% | 
 | 247  | Riolu              |  0.05253% | 259    |  0.053% | 101    |  0.044% | 
 | 248  | Toedscruel         |  0.05233% | 258    |  0.052% | 97     |  0.042% | 
 | 249  | Drifblim           |  0.05233% | 258    |  0.052% | 105    |  0.045% | 
 | 250  | Illumise           |  0.05233% | 258    |  0.052% | 80     |  0.035% | 
 | 251  | Florges            |  0.05111% | 252    |  0.051% | 120    |  0.052% | 
 | 252  | Cobalion           |  0.05111% | 252    |  0.051% | 116    |  0.050% | 
 | 253  | Electivire         |  0.05091% | 251    |  0.051% | 104    |  0.045% | 
 | 254  | Toxtricity         |  0.05030% | 248    |  0.050% | 117    |  0.051% | 
 | 255  | Lilligant          |  0.04990% | 246    |  0.050% | 90     |  0.039% | 
 | 256  | Haxorus            |  0.04929% | 243    |  0.049% | 112    |  0.048% | 
 | 257  | Hariyama           |  0.04909% | 242    |  0.049% | 107    |  0.046% | 
 | 258  | Tauros-Paldea-Blaze |  0.04888% | 241    |  0.049% | 105    |  0.045% | 
 | 259  | Rotom-Heat         |  0.04888% | 241    |  0.049% | 94     |  0.041% | 
 | 260  | Tornadus-Therian   |  0.04868% | 240    |  0.049% | 113    |  0.049% | 
 | 261  | Iron Thorns        |  0.04787% | 236    |  0.048% | 121    |  0.052% | 
 | 262  | Cyclizar           |  0.04726% | 233    |  0.047% | 107    |  0.046% | 
 | 263  | Dusknoir           |  0.04604% | 227    |  0.046% | 71     |  0.031% | 
 | 264  | Trevenant          |  0.04503% | 222    |  0.045% | 87     |  0.038% | 
 | 265  | Cloyster           |  0.04483% | 221    |  0.045% | 99     |  0.043% | 
 | 266  | Perrserker         |  0.04462% | 220    |  0.045% | 106    |  0.046% | 
 | 267  | Basculegion-F      |  0.04381% | 216    |  0.044% | 113    |  0.049% | 
 | 268  | Duraludon          |  0.04381% | 216    |  0.044% | 87     |  0.038% | 
 | 269  | Spiritomb          |  0.04361% | 215    |  0.044% | 60     |  0.026% | 
 | 270  | Moltres            |  0.04097% | 202    |  0.041% | 97     |  0.042% | 
 | 271  | Magnezone          |  0.04057% | 200    |  0.041% | 81     |  0.035% | 
 | 272  | Coalossal          |  0.03976% | 196    |  0.040% | 93     |  0.040% | 
 | 273  | Wyrdeer            |  0.03935% | 194    |  0.039% | 88     |  0.038% | 
 | 274  | Froslass           |  0.03813% | 188    |  0.038% | 70     |  0.030% | 
 | 275  | Tentacruel         |  0.03732% | 184    |  0.037% | 71     |  0.031% | 
 | 276  | Typhlosion         |  0.03651% | 180    |  0.037% | 88     |  0.038% | 
 | 277  | Blissey            |  0.03570% | 176    |  0.036% | 64     |  0.028% | 
 | 278  | Lycanroc-Dusk      |  0.03266% | 161    |  0.033% | 62     |  0.027% | 
 | 279  | Eelektross         |  0.03205% | 158    |  0.032% | 69     |  0.030% | 
 | 280  | Jolteon            |  0.03205% | 158    |  0.032% | 57     |  0.025% | 
 | 281  | Electrode-Hisui    |  0.03185% | 157    |  0.032% | 50     |  0.022% | 
 | 282  | Charjabug          |  0.03185% | 157    |  0.032% | 54     |  0.023% | 
 | 283  | Golurk             |  0.03185% | 157    |  0.032% | 62     |  0.027% | 
 | 284  | Azelf              |  0.03164% | 156    |  0.032% | 55     |  0.024% | 
 | 285  | Meganium           |  0.03144% | 155    |  0.031% | 54     |  0.023% | 
 | 286  | Altaria            |  0.03103% | 153    |  0.031% | 48     |  0.021% | 
 | 287  | Golem-Alola        |  0.03083% | 152    |  0.031% | 73     |  0.032% | 
 | 288  | Dewgong            |  0.03063% | 151    |  0.031% | 71     |  0.031% | 
 | 289  | Heracross          |  0.03022% | 149    |  0.030% | 75     |  0.032% | 
 | 290  | Scovillain         |  0.02941% | 145    |  0.029% | 60     |  0.026% | 
 | 291  | Flygon             |  0.02921% | 144    |  0.029% | 64     |  0.028% | 
 | 292  | Dachsbun           |  0.02901% | 143    |  0.029% | 63     |  0.027% | 
 | 293  | Avalugg            |  0.02860% | 141    |  0.029% | 64     |  0.028% | 
 | 294  | Yanmega            |  0.02840% | 140    |  0.028% | 87     |  0.038% | 
 | 295  | Vivillon           |  0.02799% | 138    |  0.028% | 65     |  0.028% | 
 | 296  | Rotom-Frost        |  0.02779% | 137    |  0.028% | 61     |  0.026% | 
 | 297  | Revavroom          |  0.02759% | 136    |  0.028% | 55     |  0.024% | 
 | 298  | Camerupt           |  0.02759% | 136    |  0.028% | 59     |  0.026% | 
 | 299  | Uxie               |  0.02738% | 135    |  0.027% | 29     |  0.013% | 
 | 300  | Decidueye          |  0.02698% | 133    |  0.027% | 53     |  0.023% | 
 | 301  | Carbink            |  0.02657% | 131    |  0.027% | 46     |  0.020% | 
 | 302  | Hawlucha           |  0.02657% | 131    |  0.027% | 44     |  0.019% | 
 | 303  | Lurantis           |  0.02556% | 126    |  0.026% | 59     |  0.026% | 
 | 304  | Gothorita          |  0.02515% | 124    |  0.025% | 36     |  0.016% | 
 | 305  | Floatzel           |  0.02434% | 120    |  0.024% | 48     |  0.021% | 
 | 306  | Volbeat            |  0.02434% | 120    |  0.024% | 43     |  0.019% | 
 | 307  | Wigglytuff         |  0.02414% | 119    |  0.024% | 40     |  0.017% | 
 | 308  | Poliwrath          |  0.02333% | 115    |  0.023% | 61     |  0.026% | 
 | 309  | Luxray             |  0.02312% | 114    |  0.023% | 39     |  0.017% | 
 | 310  | Avalugg-Hisui      |  0.02312% | 114    |  0.023% | 35     |  0.015% | 
 | 311  | Crawdaunt          |  0.02251% | 111    |  0.023% | 50     |  0.022% | 
 | 312  | Lanturn            |  0.02231% | 110    |  0.022% | 49     |  0.021% | 
 | 313  | Stonjourner        |  0.02231% | 110    |  0.022% | 50     |  0.022% | 
 | 314  | Drednaw            |  0.02231% | 110    |  0.022% | 63     |  0.027% | 
 | 315  | Emboar             |  0.02211% | 109    |  0.022% | 65     |  0.028% | 
 | 316  | Leafeon            |  0.02211% | 109    |  0.022% | 37     |  0.016% | 
 | 317  | Falinks            |  0.02150% | 106    |  0.022% | 40     |  0.017% | 
 | 318  | Beartic            |  0.02130% | 105    |  0.021% | 54     |  0.023% | 
 | 319  | Skarmory           |  0.02130% | 105    |  0.021% | 39     |  0.017% | 
 | 320  | Noivern            |  0.02049% | 101    |  0.020% | 31     |  0.013% | 
