 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 | 1    | Incineroar         | 43.34618% | 213701 | 43.346% | 120157 | 52.018% | 
 | 2    | Flutter Mane       | 42.95450% | 211770 | 42.955% | 95300  | 41.257% | 
 | 3    | Ogerpon-Wellspring | 34.96501% | 172381 | 34.965% | 88021  | 38.106% | 
 | 4    | Raging Bolt        | 34.62100% | 170685 | 34.621% | 69224  | 29.969% | 
 | 5    | Rillaboom          | 27.24955% | 134343 | 27.250% | 67189  | 29.088% | 
 | 6    | Landorus           | 26.53881% | 130839 | 26.539% | 62051  | 26.863% | 
 | 7    | Urshifu-Rapid-Strike | 25.95546% | 127963 | 25.955% | 68368  | 29.598% | 
 | 8    | Tornadus           | 20.68477% | 101978 | 20.685% | 30849  | 13.355% | 
 | 9    | Chien-Pao          | 20.32697% | 100214 | 20.327% | 48254  | 20.890% | 
 | 10   | Urshifu            | 18.16271% | 89544  | 18.163% | 45159  | 19.550% | 
 | 11   | Farigiraf          | 17.66171% | 87074  | 17.662% | 32136  | 13.912% | 
 | 12   | Amoonguss          | 16.70189% | 82342  | 16.702% | 37461  | 16.218% | 
 | 13   | Ogerpon-Hearthflame | 14.11797% | 69603  | 14.118% | 34815  | 15.072% | 
 | 14   | Gouging Fire       | 10.43894% | 51465  | 10.439% | 21217  |  9.185% | 
 | 15   | Gholdengo          | 10.19310% | 50253  | 10.193% | 19793  |  8.569% | 
 | 16   | Torkoal            |  8.59861% | 42392  |  8.599% | 23333  | 10.101% | 
 | 17   | Kingambit          |  8.27549% | 40799  |  8.275% | 16970  |  7.347% | 
 | 18   | Ursaluna-Bloodmoon |  8.22843% | 40567  |  8.228% | 23323  | 10.097% | 
 | 19   | Indeedee-F         |  7.93351% | 39113  |  7.934% | 17949  |  7.770% | 
 | 20   | Arcanine-Hisui     |  7.84102% | 38657  |  7.841% | 19831  |  8.585% | 
 | 21   | Ninetales-Alola    |  7.63453% | 37639  |  7.635% | 18336  |  7.938% | 
 | 22   | Dragonite          |  6.92400% | 34136  |  6.924% | 16533  |  7.157% | 
 | 23   | Iron Hands         |  6.88586% | 33948  |  6.886% | 16262  |  7.040% | 
 | 24   | Chi-Yu             |  6.11915% | 30168  |  6.119% | 15282  |  6.616% | 
 | 25   | Archaludon         |  6.01043% | 29632  |  6.010% | 15719  |  6.805% | 
 | 26   | Ting-Lu            |  5.97371% | 29451  |  5.974% | 14117  |  6.112% | 
 | 27   | Glimmora           |  5.35263% | 26389  |  5.353% | 11944  |  5.171% | 
 | 28   | Dondozo            |  5.07191% | 25005  |  5.072% | 12655  |  5.479% | 
 | 29   | Ursaluna           |  4.79889% | 23659  |  4.799% | 12342  |  5.343% | 
 | 30   | Articuno           |  4.64920% | 22921  |  4.649% | 12332  |  5.339% | 
 | 31   | Landorus-Therian   |  4.06422% | 20037  |  4.064% | 10428  |  4.514% | 
 | 32   | Roaring Moon       |  3.97091% | 19577  |  3.971% | 8161   |  3.533% | 
 | 33   | Entei              |  3.96179% | 19532  |  3.962% | 9992   |  4.326% | 
 | 34   | Pelipper           |  3.55125% | 17508  |  3.551% | 9135   |  3.955% | 
 | 35   | Ogerpon-Cornerstone |  3.39973% | 16761  |  3.400% | 6733   |  2.915% | 
 | 36   | Porygon2           |  3.20115% | 15782  |  3.201% | 7314   |  3.166% | 
 | 37   | Volcarona          |  3.17377% | 15647  |  3.174% | 5724   |  2.478% | 
 | 38   | Walking Wake       |  2.94700% | 14529  |  2.947% | 7370   |  3.191% | 
 | 39   | Whimsicott         |  2.92530% | 14422  |  2.925% | 4561   |  1.975% | 
 | 40   | Gallade            |  2.86789% | 14139  |  2.868% | 7278   |  3.151% | 
 | 41   | Cresselia          |  2.82509% | 13928  |  2.825% | 6346   |  2.747% | 
 | 42   | Hatterene          |  2.67601% | 13193  |  2.676% | 6693   |  2.898% | 
 | 43   | Tatsugiri          |  2.59508% | 12794  |  2.595% | 7651   |  3.312% | 
 | 44   | Okidogi            |  2.57987% | 12719  |  2.580% | 6245   |  2.704% | 
 | 45   | Annihilape         |  2.50867% | 12368  |  2.509% | 5851   |  2.533% | 
 | 46   | Iron Crown         |  2.41232% | 11893  |  2.412% | 5409   |  2.342% | 
