 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 | 70   | Clefairy           |  0.77636% | 4735   |  0.960% | 2085   |  0.903% | 
 | 71   | Dragapult          |  0.76259% | 4872   |  0.988% | 2246   |  0.972% | 
 | 72   | Suicune            |  0.74189% | 4466   |  0.906% | 1795   |  0.777% | 
 | 73   | Moltres-Galar      |  0.72594% | 3761   |  0.763% | 1291   |  0.559% | 
 | 74   | Bronzong           |  0.70510% | 3604   |  0.731% | 1384   |  0.599% | 
 | 75   | Enamorus-Therian   |  0.60590% | 2946   |  0.598% | 1400   |  0.606% | 
 | 76   | Gastrodon          |  0.57588% | 4312   |  0.875% | 1956   |  0.847% | 
 | 77   | Regieleki          |  0.56972% | 4354   |  0.883% | 1731   |  0.749% | 
 | 78   | Dusclops           |  0.55458% | 2536   |  0.514% | 942    |  0.408% | 
 | 79   | Scizor             |  0.55127% | 3979   |  0.807% | 1876   |  0.812% | 
 | 80   | Gothitelle         |  0.55122% | 3277   |  0.665% | 1640   |  0.710% | 
 | 81   | Goodra-Hisui       |  0.54062% | 3910   |  0.793% | 1746   |  0.756% | 
 | 82   | Comfey             |  0.53054% | 3006   |  0.610% | 1595   |  0.691% | 
 | 83   | Milotic            |  0.51211% | 3470   |  0.704% | 1462   |  0.633% | 
 | 84   | Garchomp           |  0.50996% | 4030   |  0.817% | 2048   |  0.887% | 
 | 85   | Venusaur           |  0.49586% | 3309   |  0.671% | 1431   |  0.620% | 
 | 86   | Latias             |  0.49361% | 3637   |  0.738% | 1290   |  0.558% | 
 | 87   | Articuno-Galar     |  0.48429% | 3119   |  0.633% | 1201   |  0.520% | 
 | 88   | Salamence          |  0.45820% | 2888   |  0.586% | 1228   |  0.532% | 
 | 89   | Registeel          |  0.45412% | 2599   |  0.527% | 1185   |  0.513% | 
 | 90   | Basculegion        |  0.44836% | 2945   |  0.597% | 1370   |  0.593% | 
 | 91   | Tinkaton           |  0.44787% | 2629   |  0.533% | 1098   |  0.475% | 
 | 92   | Weezing            |  0.44433% | 3250   |  0.659% | 1193   |  0.516% | 
 | 93   | Glastrier          |  0.41686% | 3071   |  0.623% | 1524   |  0.660% | 
 | 94   | Iron Jugulis       |  0.39878% | 2305   |  0.468% | 729    |  0.316% | 
 | 95   | Latios             |  0.38777% | 2487   |  0.504% | 1073   |  0.465% | 
 | 96   | Weezing-Galar      |  0.38765% | 2510   |  0.509% | 1016   |  0.440% | 
 | 97   | Oranguru           |  0.37738% | 2607   |  0.529% | 1223   |  0.529% | 
 | 98   | Iron Moth          |  0.37455% | 2486   |  0.504% | 1157   |  0.501% | 
 | 99   | Cetitan            |  0.35053% | 1567   |  0.318% | 605    |  0.262% | 
 | 100  | Terrakion          |  0.34608% | 1608   |  0.326% | 699    |  0.303% | 
 | 101  | Sneasler           |  0.31337% | 2762   |  0.560% | 1275   |  0.552% | 
 | 102  | Mamoswine          |  0.30804% | 1763   |  0.358% | 916    |  0.397% | 
 | 103  | Kleavor            |  0.30258% | 1323   |  0.268% | 638    |  0.276% | 
 | 104  | Wo-Chien           |  0.28465% | 1668   |  0.338% | 784    |  0.339% | 
 | 105  | Frosmoth           |  0.26521% | 1425   |  0.289% | 590    |  0.255% | 
 | 106  | Great Tusk         |  0.26414% | 1824   |  0.370% | 878    |  0.380% | 
 | 107  | Araquanid          |  0.25466% | 1926   |  0.391% | 825    |  0.357% | 
 | 108  | Clefable           |  0.24989% | 1219   |  0.247% | 529    |  0.229% | 
 | 109  | Regice             |  0.24663% | 1305   |  0.265% | 747    |  0.323% | 
 | 110  | Orthworm           |  0.24117% | 1316   |  0.267% | 697    |  0.302% | 
 | 111  | Enamorus           |  0.23798% | 2015   |  0.409% | 982    |  0.425% | 
 | 112  | Empoleon           |  0.23185% | 2079   |  0.422% | 944    |  0.409% | 
 | 113  | Sableye            |  0.23166% | 1734   |  0.352% | 618    |  0.268% | 
 | 114  | Palafin            |  0.22442% | 2062   |  0.418% | 1003   |  0.434% | 
 | 115  | Politoed           |  0.22311% | 2339   |  0.474% | 1246   |  0.539% | 
 | 116  | Regigigas          |  0.22138% | 1606   |  0.326% | 769    |  0.333% | 
 | 117  | Snorlax            |  0.21983% | 1412   |  0.286% | 481    |  0.208% | 
 | 118  | Garganacl          |  0.21769% | 2102   |  0.426% | 906    |  0.392% | 
 | 119  | Lycanroc           |  0.21383% | 1118   |  0.227% | 416    |  0.180% | 
 | 120  | Ninetales          |  0.18724% | 1588   |  0.322% | 682    |  0.295% | 
 | 121  | Tsareena           |  0.17920% | 1021   |  0.207% | 430    |  0.186% | 
 | 122  | Thundurus-Therian  |  0.17895% | 1182   |  0.240% | 551    |  0.239% | 
 | 123  | Indeedee           |  0.17632% | 1014   |  0.206% | 485    |  0.210% | 
 | 124  | Brute Bonnet       |  0.17499% | 1154   |  0.234% | 442    |  0.191% | 
 | 125  | Slowking           |  0.17243% | 789    |  0.160% | 495    |  0.214% | 
 | 126  | Spectrier          |  0.17233% | 1238   |  0.251% | 585    |  0.253% | 
 | 127  | Zapdos             |  0.16759% | 1690   |  0.343% | 732    |  0.317% | 
 | 128  | Electabuzz         |  0.16101% | 1185   |  0.240% | 454    |  0.197% | 
 | 129  | Hitmontop          |  0.16040% | 1180   |  0.239% | 478    |  0.207% | 
 | 130  | Murkrow            |  0.15993% | 1308   |  0.265% | 410    |  0.177% | 
 | 131  | Flamigo            |  0.15769% | 1192   |  0.242% | 684    |  0.296% | 
 | 132  | Zoroark-Hisui      |  0.15502% | 1469   |  0.298% | 349    |  0.151% | 
 | 133  | Serperior          |  0.15211% | 1937   |  0.393% | 771    |  0.334% | 
 | 134  | Talonflame         |  0.14634% | 1996   |  0.405% | 774    |  0.335% | 
 | 135  | Charizard          |  0.14522% | 1312   |  0.266% | 605    |  0.262% | 
 | 136  | Iron Valiant       |  0.14296% | 1678   |  0.340% | 774    |  0.335% | 
 | 137  | Magmar             |  0.14170% | 1626   |  0.330% | 599    |  0.259% | 
 | 138  | Raichu             |  0.13884% | 1274   |  0.258% | 477    |  0.207% | 
 | 139  | Muk-Alola          |  0.13031% | 827    |  0.168% | 445    |  0.193% | 
 | 140  | Blaziken           |  0.12375% | 1114   |  0.226% | 493    |  0.213% | 
 | 141  | Vikavolt           |  0.12316% | 674    |  0.137% | 293    |  0.127% | 
 | 142  | Toxicroak          |  0.11892% | 748    |  0.152% | 371    |  0.161% | 
 | 143  | Rhyperior          |  0.11751% | 992    |  0.201% | 496    |  0.215% | 
 | 144  | Sandy Shocks       |  0.11657% | 852    |  0.173% | 358    |  0.155% | 
 | 145  | Houndstone         |  0.11634% | 701    |  0.142% | 335    |  0.145% | 
 | 146  | Chesnaught         |  0.11107% | 529    |  0.107% | 180    |  0.078% | 
 | 147  | Blastoise          |  0.10887% | 1082   |  0.219% | 442    |  0.191% | 
 | 148  | Brambleghast       |  0.10848% | 775    |  0.157% | 324    |  0.140% | 
 | 149  | Meowscarada        |  0.10834% | 1387   |  0.281% | 620    |  0.268% | 
 | 150  | Shiftry            |  0.10517% | 990    |  0.201% | 464    |  0.201% | 
 | 151  | Azumarill          |  0.10462% | 1219   |  0.247% | 562    |  0.243% | 
 | 152  | Typhlosion-Hisui   |  0.10316% | 783    |  0.159% | 378    |  0.164% | 
 | 153  | Iron Treads        |  0.10185% | 836    |  0.170% | 375    |  0.162% | 
 | 154  | Exeggutor          |  0.10040% | 938    |  0.190% | 323    |  0.140% | 
 | 155  | Hydrapple          |  0.09822% | 1662   |  0.337% | 772    |  0.334% | 
 | 156  | Glaceon            |  0.09737% | 635    |  0.129% | 317    |  0.137% | 
 | 157  | Kingdra            |  0.09694% | 1031   |  0.209% | 525    |  0.227% | 
 | 158  | Espathra           |  0.09689% | 694    |  0.141% | 292    |  0.126% | 
 | 159  | Mimikyu            |  0.09540% | 999    |  0.203% | 385    |  0.167% | 
 | 160  | Abomasnow          |  0.09292% | 1156   |  0.234% | 460    |  0.199% | 
 | 161  | Fezandipiti        |  0.09262% | 915    |  0.186% | 383    |  0.166% | 
 | 162  | Ceruledge          |  0.08963% | 1396   |  0.283% | 668    |  0.289% | 
 | 163  | Alcremie           |  0.08953% | 631    |  0.128% | 291    |  0.126% | 
 | 164  | Arcanine           |  0.08935% | 1409   |  0.286% | 568    |  0.246% | 
 | 165  | Skeledirge         |  0.08884% | 964    |  0.196% | 444    |  0.192% | 
 | 166  | Raikou             |  0.08698% | 747    |  0.152% | 303    |  0.131% | 
 | 167  | Slither Wing       |  0.08619% | 639    |  0.130% | 300    |  0.130% | 
 | 168  | Lapras             |  0.08410% | 569    |  0.115% | 245    |  0.106% | 
 | 169  | Hydreigon          |  0.08112% | 879    |  0.178% | 370    |  0.160% | 
 | 170  | Mienshao           |  0.07607% | 474    |  0.096% | 168    |  0.073% | 
 | 171  | Breloom            |  0.07552% | 684    |  0.139% | 315    |  0.136% | 
 | 172  | Umbreon            |  0.07500% | 736    |  0.149% | 303    |  0.131% | 
 | 173  | Rotom-Wash         |  0.07194% | 581    |  0.118% | 288    |  0.125% | 
 | 174  | Toxapex            |  0.07050% | 891    |  0.181% | 364    |  0.158% | 
 | 175  | Salazzle           |  0.06749% | 335    |  0.068% | 137    |  0.059% | 
 | 176  | Munkidori          |  0.06400% | 507    |  0.103% | 221    |  0.096% | 
 | 177  | Slowking-Galar     |  0.06300% | 683    |  0.139% | 319    |  0.138% | 
 | 178  | Bruxish            |  0.06117% | 314    |  0.064% | 154    |  0.067% | 
 | 179  | Sceptile           |  0.06116% | 528    |  0.107% | 164    |  0.071% | 
 | 180  | Rampardos          |  0.06086% | 451    |  0.091% | 201    |  0.087% | 
 | 181  | Klefki             |  0.06036% | 617    |  0.125% | 216    |  0.094% | 
 | 182  | Staraptor          |  0.05753% | 466    |  0.095% | 213    |  0.092% | 
 | 183  | Lucario            |  0.05598% | 694    |  0.141% | 293    |  0.127% | 
 | 184  | Ludicolo           |  0.05452% | 586    |  0.119% | 279    |  0.121% | 
 | 185  | Iron Leaves        |  0.05373% | 559    |  0.113% | 257    |  0.111% | 
 | 186  | Scrafty            |  0.05063% | 659    |  0.134% | 303    |  0.131% | 
 | 187  | Porygon-Z          |  0.05035% | 717    |  0.145% | 351    |  0.152% | 
 | 188  | Pikachu            |  0.04983% | 414    |  0.084% | 140    |  0.061% | 
 | 189  | Gliscor            |  0.04722% | 676    |  0.137% | 295    |  0.128% | 
 | 190  | Slaking            |  0.04693% | 688    |  0.140% | 290    |  0.126% | 
 | 191  | Drifblim           |  0.04664% | 258    |  0.052% | 105    |  0.045% | 
 | 192  | Braviary           |  0.04616% | 276    |  0.056% | 120    |  0.052% | 
 | 193  | Vaporeon           |  0.04482% | 387    |  0.078% | 164    |  0.071% | 
 | 194  | Jumpluff           |  0.04444% | 386    |  0.078% | 141    |  0.061% | 
 | 195  | Bellibolt          |  0.04340% | 388    |  0.079% | 197    |  0.085% | 
 | 196  | Illumise           |  0.04326% | 258    |  0.052% | 80     |  0.035% | 
 | 197  | Rhydon             |  0.04322% | 380    |  0.077% | 152    |  0.066% | 
 | 198  | Barraskewda        |  0.04278% | 484    |  0.098% | 199    |  0.086% | 
