| Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 | 70   | Enamorus-Therian   |  0.39654% | 2946   |  0.598% | 1400   |  0.606% | 
 | 71   | Registeel          |  0.37121% | 2599   |  0.527% | 1185   |  0.513% | 
 | 72   | Iron Boulder       |  0.36892% | 4208   |  0.854% | 1985   |  0.859% | 
 | 73   | Iron Jugulis       |  0.35478% | 2305   |  0.468% | 729    |  0.316% | 
 | 74   | Dusclops           |  0.32810% | 2536   |  0.514% | 942    |  0.408% | 
 | 75   | Suicune            |  0.30424% | 4466   |  0.906% | 1795   |  0.777% | 
 | 76   | Gastrodon          |  0.30141% | 4312   |  0.875% | 1956   |  0.847% | 
 | 77   | Espathra           |  0.28775% | 694    |  0.141% | 292    |  0.126% | 
 | 78   | Regidrago          |  0.28616% | 5042   |  1.023% | 2604   |  1.127% | 
 | 79   | Clefable           |  0.25820% | 1219   |  0.247% | 529    |  0.229% | 
 | 80   | Chesnaught         |  0.24877% | 529    |  0.107% | 180    |  0.078% | 
 | 81   | Gothitelle         |  0.24716% | 3277   |  0.665% | 1640   |  0.710% | 
 | 82   | Latios             |  0.23289% | 2487   |  0.504% | 1073   |  0.465% | 
 | 83   | Iron Moth          |  0.23015% | 2486   |  0.504% | 1157   |  0.501% | 
 | 84   | Metagross          |  0.22983% | 5987   |  1.214% | 2651   |  1.148% | 
 | 85   | Oranguru           |  0.21681% | 2607   |  0.529% | 1223   |  0.529% | 
 | 86   | Talonflame         |  0.19401% | 1996   |  0.405% | 774    |  0.335% | 
 | 87   | Articuno-Galar     |  0.19144% | 3119   |  0.633% | 1201   |  0.520% | 
 | 88   | Garganacl          |  0.17954% | 2102   |  0.426% | 906    |  0.392% | 
 | 89   | Regieleki          |  0.17024% | 4354   |  0.883% | 1731   |  0.749% | 
 | 90   | Milotic            |  0.16535% | 3470   |  0.704% | 1462   |  0.633% | 
 | 91   | Excadrill          |  0.14754% | 4710   |  0.955% | 2508   |  1.086% | 
 | 92   | Weezing            |  0.14286% | 3250   |  0.659% | 1193   |  0.516% | 
 | 93   | Latias             |  0.14093% | 3637   |  0.738% | 1290   |  0.558% | 
 | 94   | Venusaur           |  0.12143% | 3309   |  0.671% | 1431   |  0.620% | 
 | 95   | Mimikyu            |  0.12093% | 999    |  0.203% | 385    |  0.167% | 
 | 96   | Orthworm           |  0.11900% | 1316   |  0.267% | 697    |  0.302% | 
 | 97   | Tinkaton           |  0.11689% | 2629   |  0.533% | 1098   |  0.475% | 
 | 98   | Goodra-Hisui       |  0.11637% | 3910   |  0.793% | 1746   |  0.756% | 
 | 99   | Weezing-Galar      |  0.11489% | 2510   |  0.509% | 1016   |  0.440% | 
 | 100  | Basculegion        |  0.11392% | 2945   |  0.597% | 1370   |  0.593% | 
 | 101  | Tsareena           |  0.10870% | 1021   |  0.207% | 430    |  0.186% | 
 | 102  | Comfey             |  0.10173% | 3006   |  0.610% | 1595   |  0.691% | 
 | 103  | Wo-Chien           |  0.09951% | 1668   |  0.338% | 784    |  0.339% | 
 | 104  | Ninetales          |  0.09710% | 1588   |  0.322% | 682    |  0.295% | 
 | 105  | Zapdos             |  0.09525% | 1690   |  0.343% | 732    |  0.317% | 
 | 106  | Indeedee           |  0.09411% | 1014   |  0.206% | 485    |  0.210% | 
 | 107  | Mamoswine          |  0.08996% | 1763   |  0.358% | 916    |  0.397% | 
 | 108  | Magmar             |  0.08582% | 1626   |  0.330% | 599    |  0.259% | 
 | 109  | Regigigas          |  0.08262% | 1606   |  0.326% | 769    |  0.333% | 
 | 110  | Great Tusk         |  0.08128% | 1824   |  0.370% | 878    |  0.380% | 
 | 111  | Garchomp           |  0.07697% | 4030   |  0.817% | 2048   |  0.887% | 
 | 112  | Gliscor            |  0.07247% | 676    |  0.137% | 295    |  0.128% | 
 | 113  | Brambleghast       |  0.06936% | 775    |  0.157% | 324    |  0.140% | 
 | 114  | Rotom-Wash         |  0.06827% | 581    |  0.118% | 288    |  0.125% | 
 | 115  | Terrakion          |  0.06215% | 1608   |  0.326% | 699    |  0.303% | 
 | 116  | Brute Bonnet       |  0.06130% | 1154   |  0.234% | 442    |  0.191% | 
 | 117  | Hippowdon          |  0.06094% | 328    |  0.067% | 164    |  0.071% | 
 | 118  | Sceptile           |  0.06064% | 528    |  0.107% | 164    |  0.071% | 
 | 119  | Sandy Shocks       |  0.05064% | 852    |  0.173% | 358    |  0.155% | 
 | 120  | Camerupt           |  0.04782% | 136    |  0.028% | 59     |  0.026% | 
 | 121  | Salamence          |  0.04571% | 2888   |  0.586% | 1228   |  0.532% | 
 | 122  | Lycanroc           |  0.04409% | 1118   |  0.227% | 416    |  0.180% | 
 | 123  | Fezandipiti        |  0.04392% | 915    |  0.186% | 383    |  0.166% | 
 | 124  | Spectrier          |  0.04385% | 1238   |  0.251% | 585    |  0.253% | 
 | 125  | Hydrapple          |  0.04249% | 1662   |  0.337% | 772    |  0.334% | 
 | 126  | Moltres-Galar      |  0.04187% | 3761   |  0.763% | 1291   |  0.559% | 
 | 127  | Frosmoth           |  0.04126% | 1425   |  0.289% | 590    |  0.255% | 
 | 128  | Scizor             |  0.04065% | 3979   |  0.807% | 1876   |  0.812% | 
 | 129  | Rampardos          |  0.03599% | 451    |  0.091% | 201    |  0.087% | 
 | 130  | Regice             |  0.03433% | 1305   |  0.265% | 747    |  0.323% | 
 | 131  | Arcanine           |  0.03396% | 1409   |  0.286% | 568    |  0.246% | 
 | 132  | Tauros-Paldea-Aqua |  0.03391% | 342    |  0.069% | 147    |  0.064% | 
 | 133  | Sneasler           |  0.03137% | 2762   |  0.560% | 1275   |  0.552% | 
 | 134  | Enamorus           |  0.03136% | 2015   |  0.409% | 982    |  0.425% | 
 | 135  | Stantler           |  0.02836% | 53     |  0.011% | 20     |  0.009% | 
 | 136  | Zoroark-Hisui      |  0.02824% | 1469   |  0.298% | 349    |  0.151% | 
 | 137  | Thundurus-Therian  |  0.02553% | 1182   |  0.240% | 551    |  0.239% | 
 | 138  | Azumarill          |  0.02123% | 1219   |  0.247% | 562    |  0.243% | 
 | 139  | Glaceon            |  0.02121% | 635    |  0.129% | 317    |  0.137% | 
 | 140  | Regirock           |  0.02100% | 300    |  0.061% | 139    |  0.060% | 
 | 141  | Palafin            |  0.02091% | 2062   |  0.418% | 1003   |  0.434% | 
 | 142  | Empoleon           |  0.01962% | 2079   |  0.422% | 944    |  0.409% | 
 | 143  | Scrafty            |  0.01933% | 659    |  0.134% | 303    |  0.131% | 
 | 144  | Raichu             |  0.01890% | 1274   |  0.258% | 477    |  0.207% | 
 | 145  | Gardevoir          |  0.01878% | 453    |  0.092% | 206    |  0.089% | 
 | 146  | Glastrier          |  0.01862% | 3071   |  0.623% | 1524   |  0.660% | 
 | 147  | Raikou             |  0.01847% | 747    |  0.152% | 303    |  0.131% | 
 | 148  | Vivillon           |  0.01825% | 138    |  0.028% | 65     |  0.028% | 
 | 149  | Munkidori          |  0.01816% | 507    |  0.103% | 221    |  0.096% | 
 | 150  | Toxapex            |  0.01798% | 891    |  0.181% | 364    |  0.158% | 
 | 151  | Araquanid          |  0.01744% | 1926   |  0.391% | 825    |  0.357% | 
 | 152  | Murkrow            |  0.01723% | 1308   |  0.265% | 410    |  0.177% | 
 | 153  | Revavroom          |  0.01663% | 136    |  0.028% | 55     |  0.024% | 
 | 154  | Politoed           |  0.01633% | 2339   |  0.474% | 1246   |  0.539% | 
 | 155  | Skeledirge         |  0.01614% | 964    |  0.196% | 444    |  0.192% | 
 | 156  | Chandelure         |  0.01554% | 545    |  0.111% | 242    |  0.105% | 
 | 157  | Meowscarada        |  0.01515% | 1387   |  0.281% | 620    |  0.268% | 
 | 158  | Slither Wing       |  0.01460% | 639    |  0.130% | 300    |  0.130% | 
 | 159  | Mesprit            |  0.01453% | 43     |  0.009% | 19     |  0.008% | 
 | 160  | Kleavor            |  0.01445% | 1323   |  0.268% | 638    |  0.276% | 
 | 161  | Tauros-Paldea-Blaze |  0.01429% | 241    |  0.049% | 105    |  0.045% | 
 | 162  | Klefki             |  0.01422% | 617    |  0.125% | 216    |  0.094% | 
 | 163  | Iron Valiant       |  0.01417% | 1678   |  0.340% | 774    |  0.335% | 
 | 164  | Slowking           |  0.01346% | 789    |  0.160% | 495    |  0.214% | 
 | 165  | Porygon-Z          |  0.01335% | 717    |  0.145% | 351    |  0.152% | 
 | 166  | Jumpluff           |  0.01263% | 386    |  0.078% | 141    |  0.061% | 
 | 167  | Flamigo            |  0.01253% | 1192   |  0.242% | 684    |  0.296% | 
 | 168  | Mienshao           |  0.01179% | 474    |  0.096% | 168    |  0.073% | 
 | 169  | Abomasnow          |  0.01135% | 1156   |  0.234% | 460    |  0.199% | 
 | 170  | Electabuzz         |  0.01111% | 1185   |  0.240% | 454    |  0.197% | 
 | 171  | Kilowattrel        |  0.01072% | 662    |  0.134% | 296    |  0.128% | 
 | 172  | Scovillain         |  0.01066% | 145    |  0.029% | 60     |  0.026% | 
 | 173  | Virizion           |  0.01062% | 58     |  0.012% | 26     |  0.011% | 
 | 174  | Muk-Alola          |  0.01036% | 827    |  0.168% | 445    |  0.193% | 
 | 175  | Blaziken           |  0.01017% | 1114   |  0.226% | 493    |  0.213% | 
 | 176  | Shiftry            |  0.00999% | 990    |  0.201% | 464    |  0.201% | 
 | 177  | Drifblim           |  0.00988% | 258    |  0.052% | 105    |  0.045% | 
 | 178  | Vaporeon           |  0.00947% | 387    |  0.078% | 164    |  0.071% | 
 | 179  | Exeggutor          |  0.00889% | 938    |  0.190% | 323    |  0.140% | 
 | 180  | Hydreigon          |  0.00815% | 879    |  0.178% | 370    |  0.160% | 
 | 181  | Toxicroak          |  0.00788% | 748    |  0.152% | 371    |  0.161% | 
