 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 | 70   | Murkrow            |  1.55334% | 49066  |  1.553% | 14297  |  0.993% | 
 | 71   | Talonflame         |  1.54384% | 48766  |  1.544% | 16348  |  1.136% | 
 | 72   | Great Tusk         |  1.51009% | 47700  |  1.510% | 22435  |  1.558% | 
 | 73   | Sableye            |  1.43991% | 45483  |  1.440% | 17897  |  1.243% | 
 | 74   | Ceruledge          |  1.35605% | 42834  |  1.356% | 21157  |  1.470% | 
 | 75   | Articuno           |  1.33468% | 42159  |  1.335% | 23234  |  1.614% | 
 | 76   | Overqwil           |  1.27855% | 40386  |  1.279% | 19110  |  1.327% | 
 | 77   | Iron Moth          |  1.27082% | 40142  |  1.271% | 18486  |  1.284% | 
 | 78   | Charizard          |  1.26256% | 39881  |  1.263% | 18075  |  1.256% | 
 | 79   | Samurott-Hisui     |  1.24967% | 39474  |  1.250% | 18337  |  1.274% | 
 | 80   | Sylveon            |  1.23562% | 39030  |  1.236% | 19831  |  1.378% | 
 | 81   | Meowscarada        |  1.16116% | 36678  |  1.161% | 15822  |  1.099% | 
 | 82   | Tsareena           |  1.12868% | 35652  |  1.129% | 13743  |  0.955% | 
 | 83   | Oranguru           |  1.09882% | 34709  |  1.099% | 15063  |  1.046% | 
 | 84   | Corviknight        |  1.07381% | 33919  |  1.074% | 13785  |  0.958% | 
 | 85   | Tinkaton           |  1.05634% | 33367  |  1.056% | 14515  |  1.008% | 
 | 86   | Muk-Alola          |  0.95434% | 30145  |  0.954% | 13131  |  0.912% | 
 | 87   | Articuno-Galar     |  0.94645% | 29896  |  0.946% | 9877   |  0.686% | 
 | 88   | Iron Valiant       |  0.92635% | 29261  |  0.926% | 13243  |  0.920% | 
 | 89   | Flamigo            |  0.92556% | 29236  |  0.926% | 16712  |  1.161% | 
 | 90   | Rotom-Wash         |  0.86791% | 27415  |  0.868% | 12524  |  0.870% | 
 | 91   | Sandy Shocks       |  0.80890% | 25551  |  0.809% | 11767  |  0.817% | 
 | 92   | Zapdos-Galar       |  0.80481% | 25422  |  0.805% | 11563  |  0.803% | 
 | 93   | Bruxish            |  0.77322% | 24424  |  0.773% | 8818   |  0.613% | 
 | 94   | Bronzong           |  0.71035% | 22438  |  0.710% | 7551   |  0.525% | 
 | 95   | Orthworm           |  0.66352% | 20959  |  0.664% | 10510  |  0.730% | 
 | 96   | Skeledirge         |  0.66216% | 20916  |  0.662% | 9774   |  0.679% | 
 | 97   | Wyrdeer            |  0.63912% | 20188  |  0.639% | 7382   |  0.513% | 
 | 98   | Chesnaught         |  0.61249% | 19347  |  0.612% | 8846   |  0.614% | 
 | 99   | Klefki             |  0.61129% | 19309  |  0.611% | 6177   |  0.429% | 
 | 100  | Hydreigon          |  0.60328% | 19056  |  0.603% | 8190   |  0.569% | 
 | 101  | Electrode-Hisui    |  0.60160% | 19003  |  0.602% | 6808   |  0.473% | 
 | 102  | Greninja           |  0.59305% | 18733  |  0.593% | 8084   |  0.562% | 
 | 103  | Scovillain         |  0.56504% | 17848  |  0.565% | 9955   |  0.692% | 
 | 104  | Decidueye-Hisui    |  0.52898% | 16709  |  0.529% | 8056   |  0.560% | 
 | 105  | Azelf              |  0.51992% | 16423  |  0.520% | 5849   |  0.406% | 
 | 106  | Arboliva           |  0.51894% | 16392  |  0.519% | 6756   |  0.469% | 
 | 107  | Perrserker         |  0.50393% | 15918  |  0.504% | 7909   |  0.549% | 
 | 108  | Gallade            |  0.50112% | 15829  |  0.501% | 7985   |  0.555% | 
 | 109  | Clodsire           |  0.49722% | 15706  |  0.497% | 6433   |  0.447% | 
 | 110  | Lycanroc           |  0.47646% | 15050  |  0.476% | 7199   |  0.500% | 
 | 111  | Grafaiai           |  0.46759% | 14770  |  0.468% | 6290   |  0.437% | 
 | 112  | Breloom            |  0.45857% | 14485  |  0.459% | 6368   |  0.442% | 
 | 113  | Raichu             |  0.41830% | 13213  |  0.418% | 5704   |  0.396% | 
 | 114  | Kilowattrel        |  0.41342% | 13059  |  0.413% | 5510   |  0.383% | 
 | 115  | Iron Treads        |  0.41244% | 13028  |  0.412% | 6380   |  0.443% | 
 | 116  | Salamence          |  0.41111% | 12986  |  0.411% | 6013   |  0.418% | 
 | 117  | Toxapex            |  0.39579% | 12502  |  0.396% | 5452   |  0.379% | 
 | 118  | Tauros-Paldea-Aqua |  0.39269% | 12404  |  0.393% | 5481   |  0.381% | 
 | 119  | Gengar             |  0.38610% | 12196  |  0.386% | 5412   |  0.376% | 
 | 120  | Pawmot             |  0.37594% | 11875  |  0.376% | 6124   |  0.425% | 
 | 121  | Slowking-Galar     |  0.36901% | 11656  |  0.369% | 4983   |  0.346% | 
 | 122  | Cetitan            |  0.35375% | 11174  |  0.354% | 4976   |  0.346% | 
 | 123  | Houndstone         |  0.35248% | 11134  |  0.352% | 5511   |  0.383% | 
 | 124  | Braviary-Hisui     |  0.34609% | 10932  |  0.346% | 4758   |  0.331% | 
 | 125  | Espathra           |  0.34213% | 10807  |  0.342% | 4960   |  0.345% | 
 | 126  | Slowking           |  0.34188% | 10799  |  0.342% | 4755   |  0.330% | 
 | 127  | Gardevoir          |  0.34109% | 10774  |  0.341% | 4421   |  0.307% | 
 | 128  | Bellibolt          |  0.34055% | 10757  |  0.341% | 4990   |  0.347% | 
 | 129  | Umbreon            |  0.33912% | 10712  |  0.339% | 3801   |  0.264% | 
 | 130  | Quaquaval          |  0.33029% | 10433  |  0.330% | 4759   |  0.331% | 
 | 131  | Inteleon           |  0.31734% | 10024  |  0.317% | 4725   |  0.328% | 
 | 132  | Pincurchin         |  0.31677% | 10006  |  0.317% | 3991   |  0.277% | 
 | 133  | Hariyama           |  0.31468% | 9940   |  0.315% | 4449   |  0.309% | 
 | 134  | Cinderace          |  0.31171% | 9846   |  0.312% | 4581   |  0.318% | 
 | 135  | Slither Wing       |  0.31019% | 9798   |  0.310% | 4847   |  0.337% | 
 | 136  | Rotom-Heat         |  0.30727% | 9706   |  0.307% | 4585   |  0.319% | 
 | 137  | Drifblim           |  0.30401% | 9603   |  0.304% | 3955   |  0.275% | 
 | 138  | Slowbro            |  0.30386% | 9598   |  0.304% | 3429   |  0.238% | 
 | 139  | Moltres            |  0.30306% | 9573   |  0.303% | 3770   |  0.262% | 
 | 140  | Lucario            |  0.28068% | 8866   |  0.281% | 3864   |  0.268% | 
 | 141  | Pachirisu          |  0.27828% | 8790   |  0.278% | 3328   |  0.231% | 
 | 142  | Vaporeon           |  0.27359% | 8642   |  0.274% | 4072   |  0.283% | 
 | 143  | Iron Thorns        |  0.27331% | 8633   |  0.273% | 4335   |  0.301% | 
 | 144  | Basculegion-F      |  0.27156% | 8578   |  0.272% | 4495   |  0.312% | 
 | 145  | Uxie               |  0.27077% | 8553   |  0.271% | 2854   |  0.198% | 
 | 146  | Jumpluff           |  0.26735% | 8445   |  0.267% | 3463   |  0.241% | 
 | 147  | Tauros-Paldea-Blaze |  0.26207% | 8278   |  0.262% | 3700   |  0.257% | 
 | 148  | Florges            |  0.26165% | 8265   |  0.262% | 3860   |  0.268% | 
 | 149  | Avalugg-Hisui      |  0.25621% | 8093   |  0.256% | 4087   |  0.284% | 
 | 150  | Slaking            |  0.25108% | 7931   |  0.251% | 3658   |  0.254% | 
 | 151  | Toxtricity         |  0.24972% | 7888   |  0.250% | 4084   |  0.284% | 
 | 152  | Spiritomb          |  0.24937% | 7877   |  0.249% | 2584   |  0.180% | 
 | 153  | Lilligant          |  0.24912% | 7869   |  0.249% | 2985   |  0.207% | 
 | 154  | Glaceon            |  0.24886% | 7861   |  0.249% | 4281   |  0.297% | 
 | 155  | Dudunsparce        |  0.24867% | 7855   |  0.249% | 3241   |  0.225% | 
 | 156  | Espeon             |  0.24434% | 7718   |  0.244% | 2314   |  0.161% | 
 | 157  | Iron Jugulis       |  0.24149% | 7628   |  0.241% | 3087   |  0.214% | 
